Parent Title,Parent URL,Sub-Link Title,Sub-Link URL
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Start,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/enable-google-services
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Enable Google Services,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/enable-google-services
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/enable-google-services
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Manage Gmail,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-gmail
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-gmail
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Manage Google Calendar,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-google-calendar
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-google-calendar
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Manage Google Drive,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-google-drive
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-google-drive
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Manage Mobile Devices for Google Workspace,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-mobile-devices-for-google-workspace
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-mobile-devices-for-google-workspace
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Manage Retention Policies with Google Vault,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-retention-policies-with-google-vault
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-retention-policies-with-google-vault
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Monitor Google Workspace,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/monitor-google-workspace
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/monitor-google-workspace
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Manage Domains and Domain Aliases,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-domains-and-domain-aliases
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/manage-domains-and-domain-aliases
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Migrate Data and Get Support,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/migrate-data-and-get-support
Google Workspace Service Management,https://trailhead.salesforce.com/en/content/learn/modules/google-workspace-service-management,Incomplete,https://trailhead.salesforce.com/content/learn/modules/google-workspace-service-management/migrate-data-and-get-support
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Start,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-data-360-agentforce-sales
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce, Data 360, Agentforce Sales",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-data-360-agentforce-sales
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-data-360-agentforce-sales
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce Service, Field Service, Marketing, Commerce",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-service-field-service-marketing-commerce
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-service-field-service-marketing-commerce
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce Revenue Management, Tableau, Slack",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-revenue-management-tableau-slack
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-revenue-management-tableau-slack
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: MuleSoft, Agentforce 360 Platform Trusted and Developer Services",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-mulesoft-agentforce-360-platform-trusted-and-developer-services
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-mulesoft-agentforce-360-platform-trusted-and-developer-services
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce Net Zero, Salesforce Success Plans",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-net-zero-salesforce-success-plans
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-net-zero-salesforce-success-plans
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce Automotive, Common Layer, Communications",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-automotive-common-layer-communications
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-automotive-common-layer-communications
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce Consumer Goods, Education, Energy & Utilities",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-consumer-goods-education-energy-utilities
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-consumer-goods-education-energy-utilities
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce Financial Services, Health, Life Sciences",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-financial-services-health-life-sciences
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-financial-services-health-life-sciences
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,"See What’s New: Agentforce Manufacturing, Media, Public Sector, Nonprofit",https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-manufacturing-media-public-sector-nonprofit
Spring ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/spring-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/spring-26-release-highlights/see-whats-new-agentforce-manufacturing-media-public-sector-nonprofit
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Start,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-ai-data-cloud-and-sales
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,"See What’s New with AI, Data 360, and Sales",https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-ai-data-cloud-and-sales
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-ai-data-cloud-and-sales
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,"See What’s New with Service, Marketing, and Commerce",https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-service-marketing-and-commerce
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-service-marketing-and-commerce
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,"See What’s New with Agentforce Revenue Management Analytics, and Slack",https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-revenue-cloud-analytics-and-slack
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-revenue-cloud-analytics-and-slack
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,See What’s New with MuleSoft and Platform Trusted and Developer Services,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-mulesoft-and-platform-trusted-and-developer-services
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-mulesoft-and-platform-trusted-and-developer-services
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,See What’s New with Agentforce Net Zero and Salesforce Success Plans,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-net-zero-cloud-and-salesforce-success-plans
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-net-zero-cloud-and-salesforce-success-plans
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,"See What’s New with Automotive, Common Layer, and Communications",https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-automotive-common-layer-and-communications
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-automotive-common-layer-and-communications
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,"See What’s New with Consumer Goods, Education, and Energy & Utilities",https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-consumer-goods-education-and-energy-utilities
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-consumer-goods-education-and-energy-utilities
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,"See What’s New with Financial Services, Healthcare, and Life Sciences",https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-financial-services-healthcare-and-life-sciences-cloud
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-financial-services-healthcare-and-life-sciences-cloud
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,"See What’s New with Manufacturing, Media, Public Sector, and Nonprofit",https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-manufacturing-media-public-sector-and-nonprofit
Winter ’26 Release Highlights,https://trailhead.salesforce.com/en/content/learn/modules/winter-26-release-highlights,Incomplete,https://trailhead.salesforce.com/content/learn/modules/winter-26-release-highlights/see-whats-new-with-manufacturing-media-public-sector-and-nonprofit
Accessible Digital Content,https://trailhead.salesforce.com/en/content/learn/modules/accessible-digital-content,Start,https://trailhead.salesforce.com/content/learn/modules/accessible-digital-content/build-brand-loyalty-with-accessible-content
Accessible Digital Content,https://trailhead.salesforce.com/en/content/learn/modules/accessible-digital-content,Build Brand Loyalty with Accessible Content,https://trailhead.salesforce.com/content/learn/modules/accessible-digital-content/build-brand-loyalty-with-accessible-content
Accessible Digital Content,https://trailhead.salesforce.com/en/content/learn/modules/accessible-digital-content,Incomplete,https://trailhead.salesforce.com/content/learn/modules/accessible-digital-content/build-brand-loyalty-with-accessible-content
